congress,chamber,bioguide_id,name,party,PORTMAN_attract,PORTMAN_offer
98,house,P000080,STANFORD PARRIS,R,0.2406492790825852,0.38263116024269594
98,house,P000097,CHARLES PASHAYAN,R,0.45837884031914666,0.44316723687219495
98,house,P000104,WILLIAM PATMAN,D,0.2989140161723019,0.1663062617705611
98,house,P000121,JERRY PATTERSON,D,0.3179355121292264,0.04315029089684964
98,house,P000170,DONALD PEASE,D,0.18963257391655106,0.09538185580702402
98,house,P000215,TIMOTHY PENNY,D,0.3822473495056352,0.07607066765558274
98,house,P000218,CLAUDE PEPPER,D,0.28654253491238824,0.17594747404168834
98,house,P000230,CARL PERKINS,D,0.32812968120268693,0.06248689027270461
98,house,P000265,TOM PETRI,R,0.33783498662061895,0.6725466654178688
98,house,P000328,J. PICKLE,D,0.3700188454625597,0.20496445248483686
98,house,P000444,JOHN PORTER,R,0.1992760107815346,0.5521366237439621
98,house,P000522,CHARLES PRICE,D,0.8435845900992103,0.341386415222535
98,house,P000546,JOEL PRITCHARD,R,0.416997108551602,0.7628437060928355
98,house,P000574,CARL PURSELL,R,,0.5515769685912376
98,house,P000583,RON PAUL,R,0.3108806766427259,0.42283446393427376
98,house,Q000013,JAMES QUILLEN,R,,0.5222836580900526
98,house,R000011,NICK RAHALL,D,0.24199669604752747,0.15376385876868665
98,house,R000053,CHARLES RANGEL,D,0.19409635557042765,0.10374474414234838
98,house,R000067,WILLIAM RATCHFORD,D,0.306935786176929,0.10716629427477603
98,house,R000080,RICHARD RAY,D,0.31743253469082044,0.09292388958929435
98,house,R000141,RALPH REGULA,R,0.39816390446387084,0.6929104998022892
98,house,R000146,HARRY REID,D,0.6793484097033811,0.15434064792467847
98,house,R000229,BILL RICHARDSON,D,0.3038310614810206,0.040596300154709025
98,house,R000262,MATTHEW RINALDO,R,0.3822473495056352,0.760763340288396
98,house,R000277,DONALD RITTER,R,0.4179708961430866,0.5958997509099431
98,house,R000307,PAT ROBERTS,R,0.3197473495056352,0.48543352882406277
98,house,R000337,J. ROBINSON,R,,0.3892132684899444
98,house,R000374,PETER RODINO,D,0.37176371100717875,0.08311190620182356
98,house,R000383,ROBERT ROE,D,0.3971742048516905,0.12600745664595533
98,house,R000384,CHARLES ROEMER,D,0.3520620436165371,0.1981150647528706
98,house,R000395,HAROLD ROGERS,R,0.3866940782485717,0.5535617413876187
98,house,R000436,CHARLES ROSE,D,0.4074024900524492,0.12274803693889115
98,house,R000458,DANIEL ROSTENKOWSKI,D,0.6004417592509232,0.24818905961265322
98,house,R000459,TOBY ROTH,R,0.4243163981230267,0.568160636910997
98,house,R000465,MARGE ROUKEMA,R,0.3488152903697838,0.4925340803277126
98,house,R000481,J. ROWLAND,D,0.3427199503699095,0.09217145943094765
98,house,R000485,EDWARD ROYBAL,D,0.1531268600301743,0.05583302790421121
98,house,R000495,ELDON RUDD,R,0.39130524569750935,0.3916004959552846
98,house,R000543,MARTIN RUSSO,D,0.28816489967042347,0.18058787772919918
98,house,S000005,MARTIN SABO,D,0.29755524569750935,0.09484907082371713
98,house,S000087,HAROLD SAWYER,R,0.22825293795433088,0.7515736840892314
98,house,S000124,JAMES SCHEUER,D,0.2815509575825065,0.09729550002833214
98,house,S000136,CLAUDINE SCHNEIDER,R,0.49301204430631806,0.8295059390943808
98,house,S000142,PATRICIA SCHROEDER,D,0.1812162673454102,0.07737721606510434
98,house,S000146,RICHARD SCHULZE,R,0.2564569726201005,0.6355495341471712
